date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:25	5211/5211	---M-Z	200	added ('OK')	text/html	etag:%22488855f6e00c8e4de672d5a228c50973-ssl-df%22	https://known.bio/	C:/Users/Shadow/Desktop/known/known.bio/index.html	(from )
19:33:25	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1682585946-ssl-df	https://known.bio/robots.txt		(from )
19:33:25	3904/3904	---M-Z	200	added ('OK')	text/css	etag:%224942591b56dd2271ef2606ad94cde926-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/css/main.css	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/css/main.css	(from https://known.bio/)
19:33:26	913626/913626	---M-Z	200	added ('OK')	text/css	etag:%22b481224b59167b63281742e1509432ff-ssl-df%22	https://cdn-known-bio.netlify.app/rawcdn.githack.com/hung1001/font-awesome-pro-v6/44659d9/css/all.min.css	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/rawcdn.githack.com/hung1001/font-awesome-pro-v6/44659d9/css/all.min.css	(from https://known.bio/)
19:33:26	112697/112697	---M--	200	added ('OK')	image/png	etag:%226c97eaf1e75533679bb12a8a960a04ef-ssl%22	https://cdn-known-bio.netlify.app/cdn.known.bio/images/az/embed.png	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/images/az/embed.png	(from https://known.bio/)
19:33:27	25902/25902	---M-Z	200	added ('OK')	application/javascript	etag:%222e3dcbbac2790f1ed872745f7af0cdc2-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/javascript/duration.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/javascript/duration.js	(from https://known.bio/)
19:33:27	11700/11700	---M-Z	200	added ('OK')	application/javascript	etag:%2276c8c90231b63f8a731852d22a26dd9e-ssl-df%22	https://cdn-known-bio.netlify.app/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.8/typed.min.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.8/typed.min.js	(from https://known.bio/)
19:33:28	33203/33203	---M-Z	200	added ('OK')	application/javascript	etag:%2224875dbdc2b2583d7cdc3eb0feaea599-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/javascript/main.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/javascript/main.js	(from https://known.bio/)
19:33:28	23496/23496	---M-Z	200	added ('OK')	application/javascript	etag:%2217492e0174a9075ba877c5a00ccc807e-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/javascript/playlist.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/javascript/playlist.js	(from https://known.bio/)
19:33:29	1593/1593	---M-Z	200	added ('OK')	application/javascript	etag:%22cdd971f096648577ac0202f2789db567-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/javascript/disable_inspect.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/javascript/disable_inspect.js	(from https://known.bio/)
19:33:29	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1682508894-ssl-df	https://cdn-known-bio.netlify.app/cdn.known.bio/javascript/disable_devtool.js	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/javascript/disable_devtool.8.delayed	(from https://known.bio/)
19:33:30	281808/281808	---M-Z	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	etag:%221c8a956560f4f75923a98b0edfc0c79c-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/css/derk.otf	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/css/derk.otf	(from https://cdn-known-bio.netlify.app/cdn.known.bio/css/main.css)
19:33:30	17288/17288	---M-Z	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	etag:%22fef938eb5312de846bec2daab6a9389a-ssl-df%22	https://cdn-known-bio.netlify.app/cdn.known.bio/css/metro.otf	C:/Users/Shadow/Desktop/known/cdn-known-bio.netlify.app/cdn.known.bio/css/metro.otf	(from https://cdn-known-bio.netlify.app/cdn.known.bio/css/main.css)
19:33:31	1444/1444	---M-Z	404	error ('Not%20Found')	text/html	etag:1682508894-ssl-df	https://cdn-known-bio.netlify.app/robots.txt		(from https://cdn-known-bio.netlify.app/cdn.known.bio/css/main.css)
